NAME,data_type,type,year,percent,Vot
Utah,Exemption,Any Exemption,2022,7.4,NA
Utah,Exemption,Any Exemption,2020,5.4,NA
Utah,Exemption,Any Exemption,2021,5.1,NA
Utah,Exemption,Non-Medical Exemption,2017,4.9,NA
Utah,Exemption,Non-Medical Exemption,2018,5.2,NA
Utah,Exemption,Non-Medical Exemption,2019,5.5,NA
Utah,Exemption,Non-Medical Exemption,2020,5.2,NA
Utah,Exemption,Non-Medical Exemption,2021,5,NA
Utah,Exemption,Medical Exemption,2022,0.3,NA
Utah,Exemption,Non-Medical Exemption,2016,4.4,NA
Utah,Exemption,Non-Medical Exemption,2015,4.1,NA
Utah,Exemption,Non-Medical Exemption,2014,4.2,NA
Utah,Exemption,Non-Medical Exemption,2013,3.7,NA
Utah,Exemption,Non-Medical Exemption,2012,3.6,NA
Utah,Exemption,Non-Medical Exemption,2011,NA,NA
Utah,Exemption,Non-Medical Exemption,2010,3.6,NA
Utah,Exemption,Medical Exemption,2018,0.2,NA
Utah,Exemption,Medical Exemption,2017,0.2,NA
Utah,Exemption,Medical Exemption,2016,0.2,NA
Utah,Exemption,Medical Exemption,2015,0.2,NA
Utah,Exemption,Any Exemption,2018,5.3,NA
Utah,Exemption,Any Exemption,2017,5.1,NA
Utah,Exemption,Any Exemption,2016,4.6,NA
Utah,Exemption,Any Exemption,2015,4.3,NA
Utah,Exemption,Any Exemption,2014,4.4,NA
Utah,Exemption,Any Exemption,2013,3.8,NA
Utah,Exemption,Any Exemption,2011,NA,NA
Utah,Exemption,Any Exemption,2012,3.8,NA
Utah,Exemption,Any Exemption,2010,3.8,NA
Utah,Exemption,Non-Medical Exemption,2022,7.1,NA
Utah,Exemption,Any Exemption,2019,5.7,NA
Utah,Exemption,Medical Exemption,2010,0.2,NA
Utah,Exemption,Medical Exemption,2021,0.1,NA
Utah,Exemption,Medical Exemption,2020,0.1,NA
Utah,Exemption,Medical Exemption,2019,0.2,NA
Utah,Exemption,Medical Exemption,2014,0.2,NA
Utah,Exemption,Medical Exemption,2013,0.2,NA
Utah,Exemption,Medical Exemption,2011,NA,NA
Utah,Exemption,Medical Exemption,2012,0.1,NA
Utah,Exemption,Medical Exemption,2024,0.2,NA
Utah,Exemption,Non-Medical Exemption,2024,9.1,NA
Utah,Exemption,Any Exemption,2024,9.3,NA
Utah,Exemption,Medical Exemption,2025,0.3,NA
Utah,Exemption,Non-Medical Exemption,2025,10,NA
Utah,Exemption,Any Exemption,2025,10.3,NA
Minnesota,Exemption,Non-Medical Exemption,2020,3.4,NA
Minnesota,Exemption,Non-Medical Exemption,2021,2.7,NA
Minnesota,Exemption,Non-Medical Exemption,2019,3.5,NA
Minnesota,Exemption,Non-Medical Exemption,2018,3.4,NA
Minnesota,Exemption,Non-Medical Exemption,2017,NA,NA
Minnesota,Exemption,Medical Exemption,2022,0.1,NA
Minnesota,Exemption,Any Exemption,2024,5.4,NA
Minnesota,Exemption,Non-Medical Exemption,2024,5.2,NA
Minnesota,Exemption,Medical Exemption,2024,0.2,NA
Minnesota,Exemption,Non-Medical Exemption,2025,5.8,NA
Minnesota,Exemption,Any Exemption,2025,5.9,NA
Minnesota,Exemption,Medical Exemption,2025,0.2,NA
Minnesota,Exemption,Any Exemption,2022,3.7,NA
Minnesota,Exemption,Any Exemption,2012,1.6,NA
Minnesota,Exemption,Non-Medical Exemption,2022,3.6,NA
Minnesota,Exemption,Any Exemption,2010,NA,NA
Minnesota,Exemption,Any Exemption,2011,NA,NA
Minnesota,Exemption,Any Exemption,2016,3.4,NA
Minnesota,Exemption,Any Exemption,2015,3,NA
Minnesota,Exemption,Any Exemption,2014,1.7,NA
Minnesota,Exemption,Any Exemption,2013,1.6,NA
Minnesota,Exemption,Any Exemption,2018,3.5,NA
Minnesota,Exemption,Any Exemption,2017,3.3,NA
Minnesota,Exemption,Any Exemption,2021,2.8,NA
Minnesota,Exemption,Any Exemption,2020,3.8,NA
Minnesota,Exemption,Non-Medical Exemption,2013,1.6,NA
Minnesota,Exemption,Non-Medical Exemption,2012,1.5,NA
